,IP,DATE,PICS,URL
0,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
1,123.123.123.123,26/Apr/2000,No Image,http://search.netscape.com/Computers/Data_Formats/Document/Text/RTF
2,123.123.123.123,26/Apr/2000,5star2000.gif,http://www.jafsoft.com/asctortf/
3,123.123.123.123,26/Apr/2000,5star.gif,http://www.jafsoft.com/asctortf/
4,123.123.123.123,26/Apr/2000,a2hlogo.jpg,http://www.jafsoft.com/asctortf/
5,123.123.123.123,26/Apr/2000,No Image,http://www.jafsoft.com/asctortf/
6,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
7,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
8,123.123.123.123,26/Apr/2000,No Image,http://search.netscape.com/Computers/Data_Formats/Document/Text/RTF
9,123.123.123.123,26/Apr/2000,5star2000.gif,http://www.jafsoft.com/asctortf/
10,123.123.123.123,26/Apr/2000,5star.gif,http://www.jafsoft.com/asctortf/
11,123.123.123.123,26/Apr/2000,a2hlogo.jpg,http://www.jafsoft.com/asctortf/
12,123.123.123.123,26/Apr/2000,No Image,http://www.jafsoft.com/asctortf/
13,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
14,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
15,123.123.123.123,26/Apr/2000,No Image,http://search.netscape.com/Computers/Data_Formats/Document/Text/RTF
16,123.123.123.123,26/Apr/2000,5star2000.gif,http://www.jafsoft.com/asctortf/
17,123.123.123.123,26/Apr/2000,5star.gif,http://www.jafsoft.com/asctortf/
18,123.123.123.123,26/Apr/2000,a2hlogo.jpg,http://www.jafsoft.com/asctortf/
19,123.123.123.123,26/Apr/2000,No Image,http://www.jafsoft.com/asctortf/
20,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
21,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
22,123.123.123.123,26/Apr/2000,No Image,http://search.netscape.com/Computers/Data_Formats/Document/Text/RTF
23,123.123.123.123,26/Apr/2000,5star2000.gif,http://www.jafsoft.com/asctortf/
24,123.123.123.123,26/Apr/2000,5star.gif,http://www.jafsoft.com/asctortf/
25,123.123.123.123,26/Apr/2000,a2hlogo.jpg,http://www.jafsoft.com/asctortf/
26,123.123.123.123,26/Apr/2000,No Image,http://www.jafsoft.com/asctortf/
27,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
28,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
29,123.123.123.123,26/Apr/2000,No Image,http://search.netscape.com/Computers/Data_Formats/Document/Text/RTF
30,123.123.123.123,26/Apr/2000,5star2000.gif,http://www.jafsoft.com/asctortf/
31,123.123.123.123,26/Apr/2000,5star.gif,http://www.jafsoft.com/asctortf/
32,123.123.123.123,26/Apr/2000,a2hlogo.jpg,http://www.jafsoft.com/asctortf/
33,123.123.123.123,26/Apr/2000,No Image,http://www.jafsoft.com/asctortf/
34,123.123.123.123,26/Apr/2000,wpaper.gif,http://www.jafsoft.com/asctortf/
0,123.123.123.123,,wpaper.gif,
1,123.123.123.123,,No Image,
2,123.123.123.123,,5star2000.gif,
3,123.123.123.123,,5star.gif,
4,123.123.123.123,,a2hlogo.jpg,
5,123.123.123.123,,No Image,
6,123.123.123.123,,wpaper.gif,
